products,Month,qty_shipped
AFN0340,42022,5
AFN0412,42022,1
AFN0413,42022,1
AFN0707,42022,1
AFN0768,42022,1
AFN0784,42022,3
AFN0813,42022,1
AFN0828,42022,0
AFN0864,42022,1
AFN0865,42022,1
AFN0876,42022,1
AFN0883,42022,4
AFN0905,42022,22
AFN0906,42022,4
AFN0908,42022,1
AFN0914,42022,1
AFN0919,42022,1
AFN0923,42022,9
AFN0929,42022,2
AFN0956,42022,1
AFN0970,42022,1
AFN0974,42022,1
AFN0980,42022,1
AFN0995,42022,6
AFN1004,42022,1
AFN1005,42022,2
AFN1015,42022,1
AFN1037,42022,1
AFN1042,42022,1
AFN1044,42022,3
AFN1047B,42022,1
AFN1047S,42022,1
AFN1056,42022,1
AFN1057,42022,1
AFN1078,42022,1
AFN1083,42022,1
AFN1086,42022,15
AFN1095,42022,2
AFN1107,42022,1
AFN1108,42022,2
AFN1111,42022,1
AFN1118,42022,2
AFN1122,42022,1
AFN1124,42022,2
AFN1160,42022,1
AFN1170,42022,1
AFN1171,42022,1
AFN1178,42022,1
AFN1192,42022,1
AFN1204,42022,1
AFN1210,42022,7
AFN1258,42022,2
AFN1264,42022,1
AFN1273,42022,7
AFN1275,42022,4
AFN1293,42022,4
AFN1294,42022,3
AFN1295,42022,1
AFN1296,42022,1
AFN1304,42022,2
AFN1306,42022,1
AFN1308,42022,1
AFN1309,42022,1
AFN1317,42022,1
AFN1326,42022,4
AFN1328,42022,1
AFN1329,42022,1
AFN1341,42022,2
AFN1345,42022,1
AFN1374,42022,1
AFN1375,42022,1
AFN1378,42022,2
AFN1391,42022,12
AFN1401,42022,1
AFN1406,42022,1
AFN1421,42022,1
AFN1506,42022,7
AFN1521,42022,22
AFN1522,42022,1
AFN1554,42022,1
AFN1578,42022,12
AFN1584,42022,1
AFN1596,42022,9
AFN1602,42022,2
AFN1623,42022,5
AFN1636,42022,1
AFN1646,42022,3
AFN1649,42022,2
AFN1679,42022,7
AFN1680,42022,1
AFN1691,42022,1
AFN1697,42022,2
AFN1719,42022,3
AFN1729,42022,2
AFN1736,42022,1
AFN1737,42022,4
AFN1762,42022,1
AFN1790,42022,1
AFN1793,42022,1
AFN1805,42022,6
AFN1808,42022,1
AFN1814,42022,1
AFN1815,42022,3
AFN1816,42022,1
AFN1821,42022,1
AFN1829,42022,5
AFN1838,42022,1
AFN1855,42022,1
AFN1892,42022,3
AFN1897,42022,1
AFN1917,42022,1
AFN1965,42022,2
AFN1971,42022,8
AFN2036,42022,12
AFN2037,42022,4
AFN2042,42022,1
AFN2045,42022,2
AFN2087,42022,6
AFN2173,42022,1
AFN2176,42022,3
AFN2188,42022,1
AFN2190,42022,1
AFN2218,42022,3
