Part,Year,Month,Day,TotalQty
R31257CNZ,2000,December,24,6
R31275CNZ,2000,December,24,3
R31294CNZ,2000,December,24,3
R31311CNZ,2000,December,24,5
R31326CNZ,2000,December,24,4
R31336CNZ,2000,December,24,2
R31348CNZ,2000,December,24,4
R31375CNZ,2000,December,24,2
R31387CNZ,2000,December,24,1
R31389CNZ,2000,December,24,6
R31420CNZ,2000,December,24,1
R31479CNZ,2000,December,24,6
R31505CNZ,2000,December,24,4
R31509CNZ,2000,December,24,2
R31547CNZ,2000,December,24,1
R31549CNZ,2000,December,24,1
R31553CNZ,2000,December,24,3
R31599CNZ,2000,December,24,5
R31601CNZ,2000,December,24,2
R31623CNZ,2000,December,24,5
R31626CNZ,2000,December,24,4
R31636CNZ,2000,December,24,5
R34180CNZ,2000,December,24,2
R34184CNZ,2000,December,24,2
R34219CNZ,2000,December,24,3
R34312CNZ,2000,December,24,5
R34401CNZ,2000,December,24,6
R34403CNZ,2000,December,24,1
R34499CNZ,2000,December,24,1
R53005CNZ,2000,December,24,4
R53006CNZ,2000,December,24,2
R54153CNZ,2000,December,24,4
R54186CNZ,2000,December,24,3
R55038CNZ,2000,December,24,5
R55047CNZ,2000,December,24,3
R55159CNZ,2000,December,24,1
R582034CNZ,2000,December,24,6
R582060CNZ,2000,December,24,4
R582061CNZ,2000,December,24,6
R981500CNZ,2000,December,24,1
R981503CNZ,2000,December,24,5
R31247CNZ,2000,December,23,1
R31257CNZ,2000,December,23,4
R31365CNZ,2000,December,23,1
R31373CNZ,2000,December,23,6
R31463CNZ,2000,December,23,3
R31468CNZ,2000,December,23,6
R31469CNZ,2000,December,23,4
R31479CNZ,2000,December,23,4
R31482CNZ,2000,December,23,6
R31483CNZ,2000,December,23,5
R31494CNZ,2000,December,23,5
R31495CNZ,2000,December,23,4
R31505CNZ,2000,December,23,5
R31605CNZ,2000,December,23,4
R34279CNZ,2000,December,23,4
R34303CNZ,2000,December,23,2
R34349CNZ,2000,December,23,4
R34426CNZ,2000,December,23,2
R34431CNZ,2000,December,23,6
R53068CNZ,2000,December,23,1
R53069CNZ,2000,December,23,2
R54011CNZ,2000,December,23,2
R54109CNZ,2000,December,23,3
R54111CNZ,2000,December,23,5
R54193CNZ,2000,December,23,6
R55097CNZ,2000,December,23,5
R55133CNZ,2000,December,23,1
R55150CNZ,2000,December,23,1
R55151CNZ,2000,December,23,4
R55179CNZ,2000,December,23,5
R581913CNZ,2000,December,23,3
R682263CNZ,2000,December,23,3
R981067CNZ,2000,December,23,6
R982048CNZ,2000,December,23,4
R31267CNZ,2000,December,22,1
R31294CNZ,2000,December,22,1
R31312CNZ,2000,December,22,3
R31325CNZ,2000,December,22,5
R31335CNZ,2000,December,22,3
R31337CNZ,2000,December,22,2
R31348CNZ,2000,December,22,5
R31372CNZ,2000,December,22,6
R31375CNZ,2000,December,22,3
R31410CNZ,2000,December,22,2
R31427CNZ,2000,December,22,2
R31434CNZ,2000,December,22,6
R31443CNZ,2000,December,22,4
R31455CNZ,2000,December,22,2
R31464CNZ,2000,December,22,2
R31479CNZ,2000,December,22,2
R31482CNZ,2000,December,22,5
R31488CNZ,2000,December,22,3
R31509CNZ,2000,December,22,2
R31532CNZ,2000,December,22,3
R31533CNZ,2000,December,22,3
R31553CNZ,2000,December,22,3
R31584CNZ,2000,December,22,2
R31603CNZ,2000,December,22,4
R31623CNZ,2000,December,22,1
R34314CNZ,2000,December,22,1
R34361CNZ,2000,December,22,2
R34386CNZ,2000,December,22,3
R5115CNZ,2000,December,22,4
R53005CNZ,2000,December,22,3
R53038CNZ,2000,December,22,1
R53040CNZ,2000,December,22,4
R53041CNZ,2000,December,22,5
R53071CNZ,2000,December,22,1
R5360CNZ,2000,December,22,5
R54011CNZ,2000,December,22,2
R54017CNZ,2000,December,22,5
R54093CNZ,2000,December,22,5
R54130CNZ,2000,December,22,4
R54131CNZ,2000,December,22,2
R54142CNZ,2000,December,22,3
R54153CNZ,2000,December,22,4
R55072CNZ,2000,December,22,2
R55100CNZ,2000,December,22,2
R55120CNZ,2000,December,22,1
R55133CNZ,2000,December,22,1
R55147CNZ,2000,December,22,2
R55148CNZ,2000,December,22,1
R55185CNZ,2000,December,22,4
R582000CNZ,2000,December,22,1
R582034CNZ,2000,December,22,4
R582060CNZ,2000,December,22,5
R582061CNZ,2000,December,22,6
R681995CNZ,2000,December,22,5
R682151CNZ,2000,December,22,2
R682263CNZ,2000,December,22,3
R981835CNZ,2000,December,22,5
R982073CNZ,2000,December,22,6
R982104CNZ,2000,December,22,4
R982264CNZ,2000,December,22,5
R982292CNZ,2000,December,22,3
R31263CNZ,2000,December,21,4
R31270CNZ,2000,December,21,4
R31311CNZ,2000,December,21,6
R31312CNZ,2000,December,21,2
R31335CNZ,2000,December,21,1
R31337CNZ,2000,December,21,2
R31349CNZ,2000,December,21,4
R31365CNZ,2000,December,21,3
R31373CNZ,2000,December,21,6
R31375CNZ,2000,December,21,6
R31387CNZ,2000,December,21,4
R31410CNZ,2000,December,21,1
R31434CNZ,2000,December,21,3
R31440CNZ,2000,December,21,6
R31455CNZ,2000,December,21,3
R31464CNZ,2000,December,21,4
R31488CNZ,2000,December,21,5
R31505CNZ,2000,December,21,3
R31509CNZ,2000,December,21,4
R31512CNZ,2000,December,21,4
R31529CNZ,2000,December,21,3
R31550CNZ,2000,December,21,4
R31554CNZ,2000,December,21,2
R31555CNZ,2000,December,21,5
R31567CNZ,2000,December,21,2
R31584CNZ,2000,December,21,6
R31585CNZ,2000,December,21,6
R31603CNZ,2000,December,21,5
R31623CNZ,2000,December,21,4
R31624CNZ,2000,December,21,1
R31661CNZ,2000,December,21,4
R3264CNZ,2000,December,21,6
R34203CNZ,2000,December,21,6
R34237CNZ,2000,December,21,1
R34258CNZ,2000,December,21,6
R34287CNZ,2000,December,21,3
R34296CNZ,2000,December,21,2
R34297CNZ,2000,December,21,1
R34403CNZ,2000,December,21,1
R34499CNZ,2000,December,21,4
R53005CNZ,2000,December,21,4
R53006CNZ,2000,December,21,4
R53038CNZ,2000,December,21,2
R53040CNZ,2000,December,21,2
R53041CNZ,2000,December,21,1
R53050CNZ,2000,December,21,6
R53062CNZ,2000,December,21,5
R53063CNZ,2000,December,21,6
R53064CNZ,2000,December,21,4
R53068CNZ,2000,December,21,5
R53069CNZ,2000,December,21,1
R53071CNZ,2000,December,21,1
R54093CNZ,2000,December,21,6
R54111CNZ,2000,December,21,2
R54125CNZ,2000,December,21,5
R54130CNZ,2000,December,21,1
R54131CNZ,2000,December,21,1
R54154CNZ,2000,December,21,5
R54170CNZ,2000,December,21,3
R54198CNZ,2000,December,21,5
R54199CNZ,2000,December,21,4
R55072CNZ,2000,December,21,1
R55097CNZ,2000,December,21,4
R55120CNZ,2000,December,21,4
R55157CNZ,2000,December,21,4
R55159CNZ,2000,December,21,6
R55174CNZ,2000,December,21,5
