Part,Year,Month,Day,TotalQty
R31050ONZ,2022,April,17,4
R31242ONZ,2022,April,17,2
R31257ONZ,2022,April,17,4
R31263ONZ,2022,April,17,4
R31270ONZ,2022,April,17,6
R31299ONZ,2022,April,17,2
R31304ONZ,2022,April,17,2
R31306ONZ,2022,April,17,4
R31311ONZ,2022,April,17,4
R31312ONZ,2022,April,17,6
R31314ONZ,2022,April,17,2
R31322ONZ,2022,April,17,4
R31325ONZ,2022,April,17,4
R31337ONZ,2022,April,17,2
R31348ONZ,2022,April,17,4
R31349ONZ,2022,April,17,10
R31362ONZ,2022,April,17,2
R31363ONZ,2022,April,17,4
R31365ONZ,2022,April,17,10
R31366ONZ,2022,April,17,4
R31368ONZ,2022,April,17,2
R31369ONZ,2022,April,17,2
R31372ONZ,2022,April,17,6
R31373ONZ,2022,April,17,6
R31375ONZ,2022,April,17,4
R31389ONZ,2022,April,17,2
R31392ONZ,2022,April,17,2
R31403ONZ,2022,April,17,2
R31414ONZ,2022,April,17,2
R31420ONZ,2022,April,17,10
R31421ONZ,2022,April,17,2
R31424ONZ,2022,April,17,4
R31432ONZ,2022,April,17,6
R31433ONZ,2022,April,17,4
R31434ONZ,2022,April,17,4
R31435ONZ,2022,April,17,2
R31439ONZ,2022,April,17,4
R31440ONZ,2022,April,17,4
R31443ONZ,2022,April,17,2
R31447ONZ,2022,April,17,4
R31454ONZ,2022,April,17,2
R31463ONZ,2022,April,17,4
R31464ONZ,2022,April,17,4
R31479ONZ,2022,April,17,2
R31488ONZ,2022,April,17,2
R31493ONZ,2022,April,17,2
R31505ONZ,2022,April,17,2
R31508ONZ,2022,April,17,2
R31509ONZ,2022,April,17,4
R31512ONZ,2022,April,17,8
R31532ONZ,2022,April,17,4
R31533ONZ,2022,April,17,4
R31538ONZ,2022,April,17,2
R31539ONZ,2022,April,17,2
R31542ONZ,2022,April,17,2
R31550ONZ,2022,April,17,4
R31553ONZ,2022,April,17,12
R31554ONZ,2022,April,17,4
R31584ONZ,2022,April,17,12
R31598ONZ,2022,April,17,2
R31599ONZ,2022,April,17,2
R31603ONZ,2022,April,17,12
R31605ONZ,2022,April,17,4
R31610ONZ,2022,April,17,8
R31612ONZ,2022,April,17,8
R31623ONZ,2022,April,17,4
R31624ONZ,2022,April,17,4
R31625ONZ,2022,April,17,12
R31626ONZ,2022,April,17,2
R34144ONZ,2022,April,17,2
R34168ONZ,2022,April,17,2
R34203ONZ,2022,April,17,8
R34266ONZ,2022,April,17,2
R34294ONZ,2022,April,17,2
R34303ONZ,2022,April,17,2
R34386ONZ,2022,April,17,2
R34426ONZ,2022,April,17,2
R34470ONZ,2022,April,17,8
R5118ONZ,2022,April,17,2
R5119ONZ,2022,April,17,2
R53000ONZ,2022,April,17,2
R53005ONZ,2022,April,17,4
R53006ONZ,2022,April,17,4
R53010ONZ,2022,April,17,4
R53025ONZ,2022,April,17,2
R53036ONZ,2022,April,17,2
R53038ONZ,2022,April,17,10
R53043ONZ,2022,April,17,4
R53051ONZ,2022,April,17,2
R53061ONZ,2022,April,17,6
R53062ONZ,2022,April,17,6
R53068ONZ,2022,April,17,10
R53069ONZ,2022,April,17,14
R5365ONZ,2022,April,17,2
R54030ONZ,2022,April,17,4
R54098ONZ,2022,April,17,2
R54111ONZ,2022,April,17,2
R54123ONZ,2022,April,17,2
R54125ONZ,2022,April,17,4
R54132ONZ,2022,April,17,2
R54142ONZ,2022,April,17,2
R54143ONZ,2022,April,17,2
R54153ONZ,2022,April,17,6
R54166ONZ,2022,April,17,2
R54176ONZ,2022,April,17,2
R54186ONZ,2022,April,17,2
R55034ONZ,2022,April,17,2
R55039ONZ,2022,April,17,2
R55054ONZ,2022,April,17,2
R55066ONZ,2022,April,17,2
