num,sum(qty)
OCG0220,32
OCG0225,32
R34360ONZ,60
R5371ONZ,81
R31528SCB,106
R31313SCB,70
R53004SCB,177
R34162SCB,50
R31390SCB,61
R31105SCB,65
R54010SCB,62
R781766SCB,56
R681781SCB,90
8100001,10
8100002,10
8100003,13
8100004,10
8100005,9
8100006,7
8100007,10
8100009,3
8100010,4
8100011,7
8100012,10
8100013,10
8100014,6
8100015,10
8100016,9
8100017,10
8100018,27
R55034ONZ,395
R55120SCB,78
R55040ONZ,196
R55112ONZ,28
R31384SCB,48
R55126ONZ,15
R34193ONZ,14
R54097ONZ,32
R54168SCB,54
R54156ONZ,50
R54175ONZ,16
R55165ONZ,44
R55098ONZ,4
R55066ONZ,415
R55085ONZ,11
R55108ONZ,36
R55125ONZ,20
R54011ONZ,15
R53027ONZ,80
R34390ONZ,209
8100020,10
R31445SCB,38
R54094ONZ,286
8100022,6
R31444SCB,38
R54109ONZ,296
R31084SCB,38
8100023,4
8100024,23
8100025,6
R31428SCB,84
8100026,10
R55077ONZ,46
8100029,7
8100030,1
R55072ONZ,4
8100068,5
8100067,56
8100064,6
R55069ONZ,142
8100060,10
R55087ONZ,245
8100053,37
8100054,1
R54017ONZ,58
R31496SCB,44
8100058,3
R53026ONZ,75
R982008SCB,46
S991MD,16
8100044,1
8100045,26
8100046,4
8100048,8
S990MD,16
8100041,7
8100043,20
R981050SCB,88
R54098ONZ,88
8100037,9
R54143ONZ,34
8100036,10
P1149CDM,68
8100034,10
8100032,5
P1129CDM,26
8100031,7
P1124CDM,130
P1114CDM,462
P1120CDM,20
8100078,8
S988MD,28
8100073,10
S987MD,19
S986MD,9
S984MD,5
8100071,2
P1119CDM,11
8100070,22
S981MD,14
S977MD,29
S976MD,24
S973MD,7
S969MD,8
S967MD,28
S964MD,8
S963MD,16
S962MD,16
S961MD,12
8100080,10
S959MD,18
P1105CDM,18
S957MD,25
S989MD,23
S956MD,19
8100081,13
P1121CDM,97
S954MD,26
S949MD,30
P1095CDM,1364
S948MD,26
S1024MD,28
8100082,5
P1094CDM,104
S1023MD,14
S1021MD,26
R54166ONZ,6
S1020MD,22
8100083,6
S1011MD,15
S1006MD,29
P1098CDM,23
S1004MD,19
R55054ONZ,479
8100084,7
P1122CDM,38
P1123CDM,130
8100090,4
R55073ONZ,336
8100089,6
P1363CDM,1000
P1091CDM,23
P1090CDM,30
8100088,19
P1084CDM,1676
P1075CDM,597
S505MD,1
P1087CDM,0
P1086CDM,6
8100087,7
8100086,12
S538MD,10
8100085,4
R54100ONZ,134
S546MD,46
P1074CDM,43
P1081CDM,143
P1080CDM,259
R34206ONZ,4
R5580ONZ,122
S559LMD,29
R31520ONZ,11
P1071CDM,70
8100091,1
8100093,3
8100094,8
P396CDM,278
8100095,8
P398CDM,2
R55194ONZ,161
P383CDM,406
S587MD,0
S588MD,11
8100096,5
8100097,8
P1339CDM,150
S599MD,17
8100103,6
S601MD,51
P1068CDM,40
8100102,12
P1061CDM,164
8100101,6
P1058CDM,120
S631MD,41
S636MD,15
8100100,4
S642MD,27
S643MD,30
P1056CDM,328
S646MD,29
P1055CDM,33
P1051CDM,23
S657LMD,31
S658MD,4
P1053CDM,48
S661LMD,27
S662MD,50
8100099,8
8100098,0
S665MD,43
S667MD,31
S670MD,24
S671MD,18
S675MD,27
S662LMD,30
P1044CDM,921
R31607ONZ,24
S696MD,0
8100104,4
S696LMD,81
P1042CDM,96
8100105,3
8100106,7
S701MD,26
S704MD,45
S707LMD,30
8100107,8
S709MD,30
8100108,6
P1046CDM,27
8100110,8
P1045CDM,26
R34363ONZ,72
S715MD,0
S715LMD,45
S720MD,14
8100116,12
S721MD,26
P1031CDM,21
8100115,0
S736LMD,31
S737MD,26
S738MD,14
P1036CDM,24
8100114,8
S739MD,25
8100113,6
S740MD,30
S744MD,20
8100112,8
S742LMD,51
P1040CDM,231
S745MD,19
P1039CDM,35
S746LMD,80
S746MD,0
8100111,12
S747LMD,51
S747MD,0
P1020CDM,14
8100117,8
P1019CDM,11
S748MD,28
S749MD,27
8100118,6
S750MD,1
P1022CDM,0
S751LMD,76
S751MD,0
8100119,8
S752MD,0
8100120,7
S753MD,9
P653CDM,0
S755MD,29
S756LMD,26
P652CDM,92
8100121,3
S757MD,26
8100122,8
S758MD,27
S759MD,28
S760MD,3
S761MD,30
S762MD,28
S763MD,12
P698CDM,0
P699CDM,296
S764MD,13
8100129,4
S765MD,0
P692CDM,9
P696CDM,45
R31037SCB,278
8100127,17
S767MD,26
P667BCDM,43
S769MD,20
8100125,8
S770MD,19
S772MD,30
S773MD,25
P677CDM,7
S774MD,30
S775MD,29
S777MD,18
S778MD,22
8100124,6
S779MD,9
S780MD,40
P674SCDM,49
8100123,1
S784MD,21
S786MD,25
8100130,8
S787LMD,28
S788MD,26
P679CDM,172
S789LMD,30
8100131,15
P676CDM,11
S791MD,27
S794MD,24
S795MD,0
P674BCDM,128
R54030ONZ,96
S795LMD,97
P682CDM,39
S796MD,25
8100133,18
S797MD,30
P681CDM,62
S798MD,27
S800MD,14
S802MD,18
8100134,4
8100135,5
8100165,0
R982036ONZ,56
8100164,8
8100163,8
8100162,7
8100161,4
8100155,4
8100156,20
8100157,8
8100158,8
8100159,7
8100153,22
8100152,18
8100150,11
8100149,12
8100148,6
8100142,8
8100143,6
8100144,4
8100145,4
8100146,6
8100147,6
8100141,6
8100140,16
8100139,7
8100138,21
8100137,8
8100136,8
OCG0687,30
OCG0611,22
OCG0562,30
OCG0563,34
OCG0332,18
OCG0566,0
OCG1120,44
OCG0692,0
OCG0689,38
OCG0658,42
OCG0693,47
OCG0701,98
OCG1102,36
OCG0718,26
OCG0677,38
OCG0699,76
OCG0666,26
OCG0997,40
OCG0735,0
OCG0653,18
OCG0650,154
OCG0649,20
OCG0652,104
OCG0672,11
OCG0795,14
OCG0909,90
OCG0631,74
OCG0747,3
OCG0802,78
OCG0629,84
OCG0801,110
OCG0727,24
OCG1071,9
OCG0549,80
OCG1098,16
OCG0550,118
OCG1028,26
OCG0625,132
OCG0570,135
OCG1097,86
S803MD,26
S805LMD,30
S806MD,26
S807MD,30
S808MD,30
S810MD,14
S809MD,18
S811MD,27
S812MD,27
S813MD,30
S815MD,14
S816MD,22
S818MD,30
S820MD,30
S828MD,15
S829MD,23
S831MD,9
P273CDM,143
S841MD,30
S843MD,18
R55151ONZ,267
R54099ONZ,181
R34207ONZ,62
P323CDM,69
P31CDM,13
P881CDM,98
8100166,4
P52CDM,17
P154CDM,20
8100167,3
P882CDM,174
R5382ONZ,124
S847MD,27
P883CDM,460
8100168,9
P875CDM,119
S848MD,30
S849MD,28
S850MD,22
8100169,10
S851MD,0
S852MD,17
S853MD,30
8100170,0
8100171,8
S856MD,29
S857MD,26
8100177,8
S858MD,27
S860MD,18
8100176,8
S861MD,28
8100175,4
S862MD,29
P242CDM,0
S864MD,30
8100174,8
S865MD,26
S866MD,23
S867MD,27
S868MD,21
P325CDM,27
8100173,8
S869MD,13
S872MD,30
R31559ONZ,2
S873MD,18
S874MD,28
S877MD,25
S882MD,30
R34301ONZ,25
8100172,8
R34498ONZ,48
8100178,8
8100179,6
8100180,18
P332CDM,41
OCG0759,64
P333CDM,30
8100181,8
8100182,9
R55047ONZ,129
8100183,10
R5115ONZ,202
8100189,8
8100188,50
S885MD,30
8100187,26
S887MD,4
S888MD,30
S889MD,2
R54187ONZ,56
S890MD,110
P886CDM,0
8100186,8
S891MD,30
S904MD,21
S906MD,19
OCG0580,4
S908MD,30
8100185,11
OCG1106,72
P370CDM,32
8100184,3
P870CDM,20
S912MD,28
P376CDM,8
P869CDM,50
S914MD,21
8100190,0
OCG0351,24
8100191,8
R34421ONZ,62
8100192,7
OCG1072,0
OCG1027,44
8100193,4
S918MD,25
OCG0510,108
S919MD,44
8100194,3
OCG1109,2
S920MD,28
S921MD,14
P1184CDM,175
OCG1099,10
P409CDM,114
OCG0514,74
8100195,6
S924MD,8
R34400ONZ,92
S927MD,28
8100226,8
P904CDM,22
R31598ONZ,4
OCG0517,82
8100225,5
P413CDM,49
OCG1117,22
S928MD,21
OCG0912,0
8100224,8
S933MD,0
P1204CDM,62
OCG1004,42
S934MD,23
OCG1042,40
S935MD,15
8100222,12
S940MD,4
P913CDM,443
OCG1000,42
R55119ONZ,102
OCG1107,18
P440CDM,30
S941MD,31
8100221,7
S943MD,15
OCG1114,26
R55118ONZ,2
P459CDM,3
OCG1036,56
S946MD,30
8100215,1
S947MD,0
OCG0839,0
P1263CDM,31
OCG0021,38
R55148ONZ,56
OCG0355,32
OCG0849,2
OCG0560,529
P1689CDM,21
R981067ONZ,8
OCG1025,36
R55147ONZ,13
P461CDM,34
OCG1108,30
OCG1032,57
8100217,10
P1688CDM,23
P477CDM,288
P484CDM,10
OCG1002,38
P906CDM,172
P908CDM,221
OCG1030,34
OCG0910,9
OCG1034,38
P1670CDM,40
P1277CDM,35
8100218,10
P503CDM,342
P505CDM,35
P1665CDM,0
8100219,10
P466CDM,37
P888CDM,445
R5381ONZ,95
P1629CDM,71
P889CDM,52
P1628CDM,130
P1623CDM,213
8100220,6
R31514ONZ,86
P923CDM,1122
P470CDM,24
8100214,11
P471CDM,28
P1304CDM,303
P540CDM,68
8100213,8
R5395ONZ,0
8100211,2
R55179ONZ,54
P536CDM,2048
P1315CDM,43
R55171ONZ,20
P1316CDM,87
P507CDM,6
P1328CDM,10
R54116ONZ,0
P1613CDM,37
P1611CDM,64
P1329CDM,29
P529CDM,42
P1610CDM,137
P1330CDM,47
8100212,5
OCG0559,391
R55177ONZ,46
P928CDM,45
R54047ONZ,0
P1554CDM,69
P1331CDM,48
P1332CDM,5
P579CDM,42
OCG0853,54
8100210,0
P580CDM,16
8100209,5
P1549CDM,7
R55083ONZ,403
8100202,7
8100203,8
P1351CDM,22
P584CDM,60
P562CDM,58
P563CDM,3
P571CDM,30
P930CDM,30
8100204,5
P921CDM,22
8100205,5
P553CDM,28
R55071ONZ,0
P1546CDM,45
P1169CDM,513
8100208,0
OCG0760,62
P920CDM,56
R55162ONZ,0
OCG0528,4
P1160CDM,1031
P1540CDM,38
R54070ONZ,94
P1161CDM,563
OCG0829,73
8100201,14
P598CDM,17
P600CDM,41
P1474CDM,58
P935CDM,233
R55176ONZ,5
P601CDM,34
8100200,6
P1468CDM,222
8100199,13
R54080ONZ,4
P1170CDM,63
8100198,8
P918CDM,0
R54050ONZ,0
8100197,6
P602CDM,1
P610CDM,53
OCG0300,34
8100196,4
P606CDM,3
R54127ONZ,8
P1178CDM,33
OCG0539,14
P1425CDM,45
P1179CDM,35
8100232,6
R54181ONZ,10
OCG0541,50
P915ECDM,26
8100231,8
P1420CDM,32
R5599ONZ,0
OCG0523,454
P627CDM,178
8100230,6
P953CDM,23
P634CDM,8
P952CDM,44
P1186CDM,12
P635CDM,8
P954CDM,44
P947CDM,40
P623CDM,33
P649CDM,3
OCG0540,50
P618CDM,5
P1180CDM,78
P617CDM,57
8100227,7
P613CDM,44
OCG0524,311
P1210CDM,2190
P1195CDM,37
8100233,6
OCG0538,28
